"var1";"var2";"level1";"level2";"count";"rowPerc";"colPerc";"totPerc"
"Device";"StartYear";"SenseWear";"2020-2024";3;42,8571428571429;100;2,65486725663717
"Device";"StartYear";"SenseWear";"2015-2019";0;0;0;0
"Device";"StartYear";"SenseWear";"2010-2014";3;42,8571428571429;5,26315789473684;2,65486725663717
"Device";"StartYear";"SenseWear";"2005-2009";1;14,2857142857143;5,55555555555556;0,884955752212389
"Device";"StartYear";"SenseWear";"2000-2004";0;0;0;0
"Device";"StartYear";"Lifecorder";"2020-2024";0;0;0;0
"Device";"StartYear";"Lifecorder";"2015-2019";0;0;0;0
"Device";"StartYear";"Lifecorder";"2010-2014";10;100;17,5438596491228;8,84955752212389
"Device";"StartYear";"Lifecorder";"2005-2009";0;0;0;0
"Device";"StartYear";"Lifecorder";"2000-2004";0;0;0;0
"Device";"StartYear";"ActivPAL";"2020-2024";0;0;0;0
"Device";"StartYear";"ActivPAL";"2015-2019";1;33,3333333333333;12,5;0,884955752212389
"Device";"StartYear";"ActivPAL";"2010-2014";0;0;0;0
"Device";"StartYear";"ActivPAL";"2005-2009";2;66,6666666666667;11,1111111111111;1,76991150442478
"Device";"StartYear";"ActivPAL";"2000-2004";0;0;0;0
"Device";"StartYear";"Active style";"2020-2024";0;0;0;0
"Device";"StartYear";"Active style";"2015-2019";4;100;50;3,53982300884956
"Device";"StartYear";"Active style";"2010-2014";0;0;0;0
"Device";"StartYear";"Active style";"2005-2009";0;0;0;0
"Device";"StartYear";"Active style";"2000-2004";0;0;0;0
"Device";"StartYear";"Vitamove";"2020-2024";0;0;0;0
"Device";"StartYear";"Vitamove";"2015-2019";0;0;0;0
"Device";"StartYear";"Vitamove";"2010-2014";2;100;3,50877192982456;1,76991150442478
"Device";"StartYear";"Vitamove";"2005-2009";0;0;0;0
"Device";"StartYear";"Vitamove";"2000-2004";0;0;0;0
"Device";"StartYear";"Hookie";"2020-2024";0;0;0;0
"Device";"StartYear";"Hookie";"2015-2019";0;0;0;0
"Device";"StartYear";"Hookie";"2010-2014";8;100;14,0350877192982;7,07964601769912
"Device";"StartYear";"Hookie";"2005-2009";0;0;0;0
"Device";"StartYear";"Hookie";"2000-2004";0;0;0;0
"Device";"StartYear";"GENEActiv";"2020-2024";0;0;0;0
"Device";"StartYear";"GENEActiv";"2015-2019";2;28,5714285714286;25;1,76991150442478
"Device";"StartYear";"GENEActiv";"2010-2014";5;71,4285714285714;8,7719298245614;4,42477876106195
"Device";"StartYear";"GENEActiv";"2005-2009";0;0;0;0
"Device";"StartYear";"GENEActiv";"2000-2004";0;0;0;0
"Device";"StartYear";"Axivity";"2020-2024";0;0;0;0
"Device";"StartYear";"Axivity";"2015-2019";1;5;12,5;0,884955752212389
"Device";"StartYear";"Axivity";"2010-2014";18;90;31,5789473684211;15,929203539823
"Device";"StartYear";"Axivity";"2005-2009";1;5;5,55555555555556;0,884955752212389
"Device";"StartYear";"Axivity";"2000-2004";0;0;0;0
"Device";"StartYear";"Actiheart";"2020-2024";0;0;0;0
"Device";"StartYear";"Actiheart";"2015-2019";0;0;0;0
"Device";"StartYear";"Actiheart";"2010-2014";0;0;0;0
"Device";"StartYear";"Actiheart";"2005-2009";5;100;27,7777777777778;4,42477876106195
"Device";"StartYear";"Actiheart";"2000-2004";0;0;0;0
"Device";"StartYear";"Actigraph";"2020-2024";0;0;0;0
"Device";"StartYear";"Actigraph";"2015-2019";0;0;0;0
"Device";"StartYear";"Actigraph";"2010-2014";11;26,8292682926829;19,2982456140351;9,73451327433628
"Device";"StartYear";"Actigraph";"2005-2009";4;9,75609756097561;22,2222222222222;3,53982300884956
"Device";"StartYear";"Actigraph";"2000-2004";26;63,4146341463415;96,2962962962963;23,0088495575221
"Device";"StartYear";"Actical";"2020-2024";0;0;0;0
"Device";"StartYear";"Actical";"2015-2019";0;0;0;0
"Device";"StartYear";"Actical";"2010-2014";0;0;0;0
"Device";"StartYear";"Actical";"2005-2009";5;83,3333333333333;27,7777777777778;4,42477876106195
"Device";"StartYear";"Actical";"2000-2004";1;16,6666666666667;3,7037037037037;0,884955752212389
"Device";"Position";"SenseWear";"Thigh";0;0;0;0
"Device";"Position";"SenseWear";"Upper arm";7;100;100;6,19469026548673
"Device";"Position";"SenseWear";"Wrist";0;0;0;0
"Device";"Position";"SenseWear";"Chest";0;0;0;0
"Device";"Position";"SenseWear";"Hip / Waist";0;0;0;0
"Device";"Position";"Lifecorder";"Thigh";0;0;0;0
"Device";"Position";"Lifecorder";"Upper arm";0;0;0;0
"Device";"Position";"Lifecorder";"Wrist";0;0;0;0
"Device";"Position";"Lifecorder";"Chest";0;0;0;0
"Device";"Position";"Lifecorder";"Hip / Waist";10;100;14,2857142857143;8,84955752212389
"Device";"Position";"ActivPAL";"Thigh";3;100;50;2,65486725663717
"Device";"Position";"ActivPAL";"Upper arm";0;0;0;0
"Device";"Position";"ActivPAL";"Wrist";0;0;0;0
"Device";"Position";"ActivPAL";"Chest";0;0;0;0
"Device";"Position";"ActivPAL";"Hip / Waist";0;0;0;0
"Device";"Position";"Active style";"Thigh";0;0;0;0
"Device";"Position";"Active style";"Upper arm";0;0;0;0
"Device";"Position";"Active style";"Wrist";0;0;0;0
"Device";"Position";"Active style";"Chest";0;0;0;0
"Device";"Position";"Active style";"Hip / Waist";4;100;5,71428571428571;3,53982300884956
"Device";"Position";"Vitamove";"Thigh";1;50;16,6666666666667;0,884955752212389
"Device";"Position";"Vitamove";"Upper arm";0;0;0;0
"Device";"Position";"Vitamove";"Wrist";0;0;0;0
"Device";"Position";"Vitamove";"Chest";1;50;16,6666666666667;0,884955752212389
"Device";"Position";"Vitamove";"Hip / Waist";0;0;0;0
"Device";"Position";"Hookie";"Thigh";0;0;0;0
"Device";"Position";"Hookie";"Upper arm";0;0;0;0
"Device";"Position";"Hookie";"Wrist";0;0;0;0
"Device";"Position";"Hookie";"Chest";0;0;0;0
"Device";"Position";"Hookie";"Hip / Waist";8;100;11,4285714285714;7,07964601769912
"Device";"Position";"GENEActiv";"Thigh";2;28,5714285714286;33,3333333333333;1,76991150442478
"Device";"Position";"GENEActiv";"Upper arm";0;0;0;0
"Device";"Position";"GENEActiv";"Wrist";5;71,4285714285714;20,8333333333333;4,42477876106195
"Device";"Position";"GENEActiv";"Chest";0;0;0;0
"Device";"Position";"GENEActiv";"Hip / Waist";0;0;0;0
"Device";"Position";"Axivity";"Thigh";0;0;0;0
"Device";"Position";"Axivity";"Upper arm";0;0;0;0
"Device";"Position";"Axivity";"Wrist";19;95;79,1666666666667;16,8141592920354
"Device";"Position";"Axivity";"Chest";0;0;0;0
"Device";"Position";"Axivity";"Hip / Waist";1;5;1,42857142857143;0,884955752212389
"Device";"Position";"Actiheart";"Thigh";0;0;0;0
"Device";"Position";"Actiheart";"Upper arm";0;0;0;0
"Device";"Position";"Actiheart";"Wrist";0;0;0;0
"Device";"Position";"Actiheart";"Chest";5;100;83,3333333333333;4,42477876106195
"Device";"Position";"Actiheart";"Hip / Waist";0;0;0;0
"Device";"Position";"Actigraph";"Thigh";0;0;0;0
"Device";"Position";"Actigraph";"Upper arm";0;0;0;0
"Device";"Position";"Actigraph";"Wrist";0;0;0;0
"Device";"Position";"Actigraph";"Chest";0;0;0;0
"Device";"Position";"Actigraph";"Hip / Waist";41;100;58,5714285714286;36,283185840708
"Device";"Position";"Actical";"Thigh";0;0;0;0
"Device";"Position";"Actical";"Upper arm";0;0;0;0
"Device";"Position";"Actical";"Wrist";0;0;0;0
"Device";"Position";"Actical";"Chest";0;0;0;0
"Device";"Position";"Actical";"Hip / Waist";6;100;8,57142857142857;5,30973451327434
"Device";"EpochDuration";"SenseWear";"?";3;42,8571428571429;33,3333333333333;2,65486725663717
"Device";"EpochDuration";"SenseWear";"1s⁣";0;0;0;0
"Device";"EpochDuration";"SenseWear";"4-6s";0;0;0;0
"Device";"EpochDuration";"SenseWear";"10s";0;0;0;0
"Device";"EpochDuration";"SenseWear";"30s";0;0;0;0
"Device";"EpochDuration";"SenseWear";"60s";4;57,1428571428571;5,97014925373134;3,53982300884956
"Device";"EpochDuration";"Lifecorder";"?";0;0;0;0
"Device";"EpochDuration";"Lifecorder";"1s⁣";0;0;0;0
"Device";"EpochDuration";"Lifecorder";"4-6s";10;100;55,5555555555556;8,84955752212389
"Device";"EpochDuration";"Lifecorder";"10s";0;0;0;0
"Device";"EpochDuration";"Lifecorder";"30s";0;0;0;0
"Device";"EpochDuration";"Lifecorder";"60s";0;0;0;0
"Device";"EpochDuration";"ActivPAL";"?";1;33,3333333333333;11,1111111111111;0,884955752212389
"Device";"EpochDuration";"ActivPAL";"1s⁣";2;66,6666666666667;100;1,76991150442478
"Device";"EpochDuration";"ActivPAL";"4-6s";0;0;0;0
"Device";"EpochDuration";"ActivPAL";"10s";0;0;0;0
"Device";"EpochDuration";"ActivPAL";"30s";0;0;0;0
"Device";"EpochDuration";"ActivPAL";"60s";0;0;0;0
"Device";"EpochDuration";"Active style";"?";0;0;0;0
"Device";"EpochDuration";"Active style";"1s⁣";0;0;0;0
"Device";"EpochDuration";"Active style";"4-6s";0;0;0;0
"Device";"EpochDuration";"Active style";"10s";0;0;0;0
"Device";"EpochDuration";"Active style";"30s";0;0;0;0
"Device";"EpochDuration";"Active style";"60s";4;100;5,97014925373134;3,53982300884956
"Device";"EpochDuration";"Vitamove";"?";2;100;22,2222222222222;1,76991150442478
"Device";"EpochDuration";"Vitamove";"1s⁣";0;0;0;0
"Device";"EpochDuration";"Vitamove";"4-6s";0;0;0;0
"Device";"EpochDuration";"Vitamove";"10s";0;0;0;0
"Device";"EpochDuration";"Vitamove";"30s";0;0;0;0
"Device";"EpochDuration";"Vitamove";"60s";0;0;0;0
"Device";"EpochDuration";"Hookie";"?";0;0;0;0
"Device";"EpochDuration";"Hookie";"1s⁣";0;0;0;0
"Device";"EpochDuration";"Hookie";"4-6s";8;100;44,4444444444444;7,07964601769912
"Device";"EpochDuration";"Hookie";"10s";0;0;0;0
"Device";"EpochDuration";"Hookie";"30s";0;0;0;0
"Device";"EpochDuration";"Hookie";"60s";0;0;0;0
"Device";"EpochDuration";"GENEActiv";"?";0;0;0;0
"Device";"EpochDuration";"GENEActiv";"1s⁣";0;0;0;0
"Device";"EpochDuration";"GENEActiv";"4-6s";0;0;0;0
"Device";"EpochDuration";"GENEActiv";"10s";2;28,5714285714286;15,3846153846154;1,76991150442478
