var1;var2;level1;level2;count;rowPerc;colPerc;totPerc;;
Position;Device;Thigh;Vitamove;1;16,66666667;50;0,884955752;;
Position;Device;Thigh;Hookie;0;0;0;0;;
Position;Device;Thigh;GENEActiv;2;33,33333333;28,57142857;1,769911504;;
Position;Device;Thigh;Axivity;0;0;0;0;;
Position;Device;Thigh;Actiheart;0;0;0;0;;
Position;Device;Thigh;Actigraph;0;0;0;0;;
Position;Device;Thigh;Actical;0;0;0;0;;
Position;Device;Upper arm;SenseWear;7;100;100;6,194690265;;
Position;Device;Upper arm;Lifecorder;0;0;0;0;;
Position;Device;Upper arm;ActivPAL;0;0;0;0;;
Position;Device;Upper arm;Active style;0;0;0;0;;
Position;Device;Upper arm;Vitamove;0;0;0;0;;
Position;Device;Upper arm;Hookie;0;0;0;0;;
Position;Device;Upper arm;GENEActiv;0;0;0;0;;
Position;Device;Upper arm;Axivity;0;0;0;0;;
Position;Device;Upper arm;Actiheart;0;0;0;0;;
Position;Device;Upper arm;Actigraph;0;0;0;0;;
Position;Device;Upper arm;Actical;0;0;0;0;;
Position;Device;Wrist;SenseWear;0;0;0;0;;
Position;Device;Wrist;Lifecorder;0;0;0;0;;
Position;Device;Wrist;ActivPAL;0;0;0;0;;
Position;Device;Wrist;Active style;0;0;0;0;;
Position;Device;Wrist;Vitamove;0;0;0;0;;
Position;Device;Wrist;Hookie;0;0;0;0;;
Position;Device;Wrist;GENEActiv;5;20,83333333;71,42857143;4,424778761;;
Position;Device;Wrist;Axivity;19;79,16666667;95;16,81415929;;
Position;Device;Wrist;Actiheart;0;0;0;0;;
Position;Device;Wrist;Actigraph;0;0;0;0;;
Position;Device;Wrist;Actical;0;0;0;0;;
Position;Device;Chest;SenseWear;0;0;0;0;;
Position;Device;Chest;Lifecorder;0;0;0;0;;
Position;Device;Chest;ActivPAL;0;0;0;0;;
Position;Device;Chest;Active style;0;0;0;0;;
Position;Device;Chest;Vitamove;1;16,66666667;50;0,884955752;;
Position;Device;Chest;Hookie;0;0;0;0;;
Position;Device;Chest;GENEActiv;0;0;0;0;;
Position;Device;Chest;Axivity;0;0;0;0;;
Position;Device;Chest;Actiheart;5;83,33333333;100;4,424778761;;
Position;Device;Chest;Actigraph;0;0;0;0;;
Position;Device;Chest;Actical;0;0;0;0;;
Position;Device;Hip / Waist;SenseWear;0;0;0;0;;
Position;Device;Hip / Waist;Lifecorder;10;14,28571429;100;8,849557522;;
Position;Device;Hip / Waist;ActivPAL;0;0;0;0;;
Position;Device;Hip / Waist;Active style;4;5,714285714;100;3,539823009;;
Position;Device;Hip / Waist;Vitamove;0;0;0;0;;
Position;Device;Hip / Waist;Hookie;8;11,42857143;100;7,079646018;;
Position;Device;Hip / Waist;GENEActiv;0;0;0;0;;
Position;Device;Hip / Waist;Axivity;1;1,428571429;5;0,884955752;;
Position;Device;Hip / Waist;Actiheart;0;0;0;0;;
Position;Device;Hip / Waist;Actigraph;41;58,57142857;100;36,28318584;;
Position;Device;Hip / Waist;Actical;6;8,571428571;100;5,309734513;;
Position;StartYear;Thigh;?;0;0;0;0;;
Position;StartYear;Thigh;2015-2019;3;50;37,5;2,654867257;;
Position;StartYear;Thigh;2010-2014;1;16,66666667;2,127659574;0,884955752;;
Position;StartYear;Thigh;2005-2009;2;33,33333333;11,11111111;1,769911504;;
Position;StartYear;Thigh;2000-2004;0;0;0;0;;
Position;StartYear;Upper arm;?;3;42,85714286;23,07692308;2,654867257;;
Position;StartYear;Upper arm;2015-2019;0;0;0;0;;
Position;StartYear;Upper arm;2010-2014;3;42,85714286;6,382978723;2,654867257;;
Position;StartYear;Upper arm;2005-2009;1;14,28571429;5,555555556;0,884955752;;
Position;StartYear;Upper arm;2000-2004;0;0;0;0;;
Position;StartYear;Wrist;?;0;0;0;0;;
Position;StartYear;Wrist;2015-2019;0;0;0;0;;
Position;StartYear;Wrist;2010-2014;23;95,83333333;48,93617021;20,3539823;;
Position;StartYear;Wrist;2005-2009;1;4,166666667;5,555555556;0,884955752;;
Position;StartYear;Wrist;2000-2004;0;0;0;0;;
Position;StartYear;Chest;?;0;0;0;0;;
Position;StartYear;Chest;2015-2019;0;0;0;0;;
Position;StartYear;Chest;2010-2014;1;16,66666667;2,127659574;0,884955752;;
Position;StartYear;Chest;2005-2009;5;83,33333333;27,77777778;4,424778761;;
Position;StartYear;Chest;2000-2004;0;0;0;0;;
Position;StartYear;Hip / Waist;?;10;14,28571429;76,92307692;8,849557522;;
Position;StartYear;Hip / Waist;2015-2019;5;7,142857143;62,5;4,424778761;;
Position;StartYear;Hip / Waist;2010-2014;19;27,14285714;40,42553191;16,81415929;;
Position;StartYear;Hip / Waist;2005-2009;9;12,85714286;50;7,96460177;;
Position;StartYear;Hip / Waist;2000-2004;27;38,57142857;100;23,89380531;;
EpochDuration;DropTime;?;No;9;100;9,278350515;7,96460177;;
EpochDuration;DropTime;?;Yes;0;0;0;0;;
EpochDuration;DropTime;1s⁣;No;2;100;2,06185567;1,769911504;33;0,292035398
EpochDuration;DropTime;1s⁣;Yes;0;0;0;0;;
EpochDuration;DropTime;4-6s;No;18;100;18,55670103;15,92920354;;
EpochDuration;DropTime;4-6s;Yes;0;0;0;0;0,85840708;
EpochDuration;DropTime;10s;No;13;100;13,40206186;11,50442478;;
EpochDuration;DropTime;10s;Yes;0;0;0;0;;
EpochDuration;DropTime;30s;No;2;50;2,06185567;1,769911504;;
EpochDuration;DropTime;30s;Yes;2;50;12,5;1,769911504;;
EpochDuration;DropTime;60s;No;53;79,10447761;54,63917526;46,90265487;67;0,592920354
EpochDuration;DropTime;60s;Yes;14;20,89552239;87,5;12,38938053;;
EpochDuration;BoutDuration;?;?;1;11,11111111;100;0,884955752;;
EpochDuration;BoutDuration;?;1s;0;0;0;0;;
EpochDuration;BoutDuration;?;10-32s;0;0;0;0;;
EpochDuration;BoutDuration;?;1min;4;44,44444444;10,81081081;3,539823009;;
EpochDuration;BoutDuration;?;2-5min;1;11,11111111;7,692307692;0,884955752;;
EpochDuration;BoutDuration;?;10min;3;33,33333333;8,108108108;2,654867257;;
EpochDuration;BoutDuration;?;15-60min;0;0;0;0;;
EpochDuration;BoutDuration;1s⁣;?;0;0;0;0;;
EpochDuration;BoutDuration;1s⁣;1s;1;50;100;0,884955752;;
EpochDuration;BoutDuration;1s⁣;10-32s;0;0;0;0;;
EpochDuration;BoutDuration;1s⁣;1min;0;0;0;0;;
EpochDuration;BoutDuration;1s⁣;2-5min;0;0;0;0;;
EpochDuration;BoutDuration;1s⁣;10min;1;50;2,702702703;0,884955752;;
EpochDuration;BoutDuration;1s⁣;15-60min;0;0;0;0;;
EpochDuration;BoutDuration;4-6s;?;0;0;0;0;;
EpochDuration;BoutDuration;4-6s;1s;0;0;0;0;;
EpochDuration;BoutDuration;4-6s;10-32s;6;33,33333333;33,33333333;5,309734513;;
EpochDuration;BoutDuration;4-6s;1min;2;11,11111111;5,405405405;1,769911504;;
EpochDuration;BoutDuration;4-6s;2-5min;5;27,77777778;38,46153846;4,424778761;;
EpochDuration;BoutDuration;4-6s;10min;3;16,66666667;8,108108108;2,654867257;;
EpochDuration;BoutDuration;4-6s;15-60min;2;11,11111111;33,33333333;1,769911504;;
EpochDuration;BoutDuration;10s;?;0;0;0;0;;
EpochDuration;BoutDuration;10s;1s;0;0;0;0;;
EpochDuration;BoutDuration;10s;10-32s;9;69,23076923;50;7,96460177;;
EpochDuration;BoutDuration;10s;1min;1;7,692307692;2,702702703;0,884955752;;
EpochDuration;BoutDuration;10s;2-5min;2;15,38461538;15,38461538;1,769911504;;
EpochDuration;BoutDuration;10s;10min;1;7,692307692;2,702702703;0,884955752;;
EpochDuration;BoutDuration;10s;15-60min;0;0;0;0;;
EpochDuration;BoutDuration;30s;?;0;0;0;0;;
EpochDuration;BoutDuration;30s;1s;0;0;0;0;;
EpochDuration;BoutDuration;30s;10-32s;2;50;11,11111111;1,769911504;;
EpochDuration;BoutDuration;30s;1min;0;0;0;0;;
EpochDuration;BoutDuration;30s;2-5min;0;0;0;0;;
EpochDuration;BoutDuration;30s;10min;2;50;5,405405405;1,769911504;;
EpochDuration;BoutDuration;30s;15-60min;0;0;0;0;;
EpochDuration;BoutDuration;60s;?;0;0;0;0;;
EpochDuration;BoutDuration;60s;1s;0;0;0;0;;
EpochDuration;BoutDuration;60s;10-32s;1;1,492537313;5,555555556;0,884955752;;
EpochDuration;BoutDuration;60s;1min;30;44,7761194;81,08108108;26,54867257;;
EpochDuration;BoutDuration;60s;2-5min;5;7,462686567;38,46153846;4,424778761;;
EpochDuration;BoutDuration;60s;10min;27;40,29850746;72,97297297;23,89380531;;
EpochDuration;BoutDuration;60s;15-60min;4;5,970149254;66,66666667;3,539823009;;
EpochDuration;Device;?;SenseWear;3;33,33333333;42,85714286;2,654867257;;
EpochDuration;Device;?;Lifecorder;0;0;0;0;;
EpochDuration;Device;?;ActivPAL;1;11,11111111;33,33333333;0,884955752;;
EpochDuration;Device;?;Active style;0;0;0;0;;
EpochDuration;Device;?;Vitamove;2;22,22222222;100;1,769911504;;
EpochDuration;Device;?;Hookie;0;0;0;0;;
EpochDuration;Device;?;GENEActiv;0;0;0;0;;
EpochDuration;Device;?;Axivity;3;33,33333333;15;2,654867257;;
EpochDuration;Device;?;Actiheart;0;0;0;0;;
EpochDuration;Device;?;Actigraph;0;0;0;0;;
EpochDuration;Device;?;Actical;0;0;0;0;;
EpochDuration;Device;1s⁣;SenseWear;0;0;0;0;;
EpochDuration;Device;1s⁣;Lifecorder;0;0;0;0;;
EpochDuration;Device;1s⁣;ActivPAL;2;100;66,66666667;1,769911504;;
EpochDuration;Device;1s⁣;Active style;0;0;0;0;;
EpochDuration;Device;1s⁣;Vitamove;0;0;0;0;;
EpochDuration;Device;1s⁣;Hookie;0;0;0;0;;
EpochDuration;Device;1s⁣;GENEActiv;0;0;0;0;;
EpochDuration;Device;1s⁣;Axivity;0;0;0;0;;
EpochDuration;Device;1s⁣;Actiheart;0;0;0;0;;
EpochDuration;Device;1s⁣;Actigraph;0;0;0;0;;
EpochDuration;Device;1s⁣;Actical;0;0;0;0;;
EpochDuration;Device;4-6s;SenseWear;0;0;0;0;;
EpochDuration;Device;4-6s;Lifecorder;10;55,55555556;100;8,849557522;;
EpochDuration;Device;4-6s;ActivPAL;0;0;0;0;;
EpochDuration;Device;4-6s;Active style;0;0;0;0;;
EpochDuration;Device;4-6s;Vitamove;0;0;0;0;;
EpochDuration;Device;4-6s;Hookie;8;44,44444444;100;7,079646018;;
EpochDuration;Device;4-6s;GENEActiv;0;0;0;0;;
EpochDuration;Device;4-6s;Axivity;0;0;0;0;;
EpochDuration;Device;4-6s;Actiheart;0;0;0;0;;
EpochDuration;Device;4-6s;Actigraph;0;0;0;0;;
EpochDuration;Device;4-6s;Actical;0;0;0;0;;
EpochDuration;Device;10s;SenseWear;0;0;0;0;;
EpochDuration;Device;10s;Lifecorder;0;0;0;0;;
EpochDuration;Device;10s;ActivPAL;0;0;0;0;;
EpochDuration;Device;10s;Active style;0;0;0;0;;
EpochDuration;Device;10s;Vitamove;0;0;0;0;;
EpochDuration;Device;10s;Hookie;0;0;0;0;;
EpochDuration;Device;10s;GENEActiv;2;15,38461538;28,57142857;1,769911504;;
EpochDuration;Device;10s;Axivity;11;84,61538462;55;9,734513274;;
EpochDuration;Device;10s;Actiheart;0;0;0;0;;
EpochDuration;Device;10s;Actigraph;0;0;0;0;;
EpochDuration;Device;10s;Actical;0;0;0;0;;
EpochDuration;Device;30s;SenseWear;0;0;0;0;;
EpochDuration;Device;30s;Lifecorder;0;0;0;0;;
EpochDuration;Device;30s;ActivPAL;0;0;0;0;;
EpochDuration;Device;30s;Active style;0;0;0;0;;
EpochDuration;Device;30s;Vitamove;0;0;0;0;;
EpochDuration;Device;30s;Hookie;0;0;0;0;;
EpochDuration;Device;30s;GENEActiv;0;0;0;0;;
EpochDuration;Device;30s;Axivity;0;0;0;0;;
EpochDuration;Device;30s;Actiheart;0;0;0;0;;
EpochDuration;Device;30s;Actigraph;2;50;4,87804878;1,769911504;;
EpochDuration;Device;30s;Actical;2;50;33,33333333;1,769911504;;
EpochDuration;Device;60s;SenseWear;4;5,970149254;57,14285714;3,539823009;;
EpochDuration;Device;60s;Lifecorder;0;0;0;0;;
EpochDuration;Device;60s;ActivPAL;0;0;0;0;;
EpochDuration;Device;60s;Active style;4;5,970149254;100;3,539823009;;
EpochDuration;Device;60s;Vitamove;0;0;0;0;;
EpochDuration;Device;60s;Hookie;0;0;0;0;;
EpochDuration;Device;60s;GENEActiv;5;7,462686567;71,42857143;4,424778761;;
EpochDuration;Device;60s;Axivity;6;8,955223881;30;5,309734513;;
EpochDuration;Device;60s;Actiheart;5;7,462686567;100;4,424778761;;
EpochDuration;Device;60s;Actigraph;39;58,20895522;95,12195122;34,51327434;;
EpochDuration;Device;60s;Actical;4;5,970149254;66,66666667;3,539823009;;
EpochDuration;StartYear;?;?;3;33,33333333;23,07692308;2,654867257;;
EpochDuration;StartYear;?;2015-2019;2;22,22222222;25;1,769911504;;
EpochDuration;StartYear;?;2010-2014;4;44,44444444;8,510638298;3,539823009;;
EpochDuration;StartYear;?;2005-2009;0;0;0;0;;
EpochDuration;StartYear;?;2000-2004;0;0;0;0;;
EpochDuration;StartYear;1s⁣;?;0;0;0;0;;
EpochDuration;StartYear;1s⁣;2015-2019;0;0;0;0;;
EpochDuration;StartYear;1s⁣;2010-2014;0;0;0;0;;
EpochDuration;StartYear;1s⁣;2005-2009;2;100;11,11111111;1,769911504;;
EpochDuration;StartYear;1s⁣;2000-2004;0;0;0;0;;
EpochDuration;StartYear;4-6s;?;10;55,55555556;76,92307692;8,849557522;;
EpochDuration;StartYear;4-6s;2015-2019;0;0;0;0;;
EpochDuration;StartYear;4-6s;2010-2014;8;44,44444444;17,0212766;7,079646018;;
EpochDuration;StartYear;4-6s;2005-2009;0;0;0;0;;
EpochDuration;StartYear;4-6s;2000-2004;0;0;0;0;;
EpochDuration;StartYear;10s;?;0;0;0;0;;
EpochDuration;StartYear;10s;2015-2019;2;15,38461538;25;1,769911504;;
EpochDuration;StartYear;10s;2010-2014;11;84,61538462;23,40425532;9,734513274;;
EpochDuration;StartYear;10s;2005-2009;0;0;0;0;;
EpochDuration;StartYear;10s;2000-2004;0;0;0;0;;
EpochDuration;StartYear;30s;?;0;0;0;0;;
EpochDuration;StartYear;30s;2015-2019;0;0;0;0;;
EpochDuration;StartYear;30s;2010-2014;2;50;4,255319149;1,769911504;;
EpochDuration;StartYear;30s;2005-2009;2;50;11,11111111;1,769911504;;
EpochDuration;StartYear;30s;2000-2004;0;0;0;0;;
EpochDuration;StartYear;60s;?;0;0;0;0;;
EpochDuration;StartYear;60s;2015-2019;4;5,970149254;50;3,539823009;;
EpochDuration;StartYear;60s;2010-2014;22;32,8358209;46,80851064;19,46902655;;
EpochDuration;StartYear;60s;2005-2009;14;20,89552239;77,77777778;12,38938053;;
EpochDuration;StartYear;60s;2000-2004;27;40,29850746;100;23,89380531;;
DropTime;BoutDuration;No;?;1;1,030927835;100;0,884955752;;
DropTime;BoutDuration;No;1s;1;1,030927835;100;0,884955752;;
DropTime;BoutDuration;No;10-32s;18;18,55670103;100;15,92920354;;
DropTime;BoutDuration;No;1min;37;38,1443299;100;32,74336283;;
DropTime;BoutDuration;No;2-5min;12;12,37113402;92,30769231;10,61946903;;
DropTime;BoutDuration;No;10min;22;22,68041237;59,45945946;19,46902655;;
DropTime;BoutDuration;No;15-60min;6;6,18556701;100;5,309734513;;
DropTime;BoutDuration;Yes;?;0;0;0;0;;
DropTime;BoutDuration;Yes;1s;0;0;0;0;;
DropTime;BoutDuration;Yes;10-32s;0;0;0;0;;
DropTime;BoutDuration;Yes;1min;0;0;0;0;;
DropTime;BoutDuration;Yes;2-5min;1;6,25;7,692307692;0,884955752;;
DropTime;BoutDuration;Yes;10min;15;93,75;40,54054054;13,27433628;;
DropTime;BoutDuration;Yes;15-60min;0;0;0;0;;
DropTime;Device;No;SenseWear;7;7,216494845;100;6,194690265;;
DropTime;Device;No;Lifecorder;10;10,30927835;100;8,849557522;;
DropTime;Device;No;ActivPAL;3;3,092783505;100;2,654867257;;
DropTime;Device;No;Active style;2;2,06185567;50;1,769911504;;
DropTime;Device;No;Vitamove;2;2,06185567;100;1,769911504;;
DropTime;Device;No;Hookie;8;8,24742268;100;7,079646018;;
DropTime;Device;No;GENEActiv;6;6,18556701;85,71428571;5,309734513;;
DropTime;Device;No;Axivity;20;20,6185567;100;17,69911504;;
DropTime;Device;No;Actiheart;5;5,154639175;100;4,424778761;;
DropTime;Device;No;Actigraph;30;30,92783505;73,17073171;26,54867257;;
DropTime;Device;No;Actical;4;4,12371134;66,66666667;3,539823009;;
DropTime;Device;Yes;SenseWear;0;0;0;0;;
DropTime;Device;Yes;Lifecorder;0;0;0;0;;
DropTime;Device;Yes;ActivPAL;0;0;0;0;;
DropTime;Device;Yes;Active style;2;12,5;50;1,769911504;;
DropTime;Device;Yes;Vitamove;0;0;0;0;;
DropTime;Device;Yes;Hookie;0;0;0;0;;
DropTime;Device;Yes;GENEActiv;1;6,25;14,28571429;0,884955752;;
DropTime;Device;Yes;Axivity;0;0;0;0;;
DropTime;Device;Yes;Actiheart;0;0;0;0;;
DropTime;Device;Yes;Actigraph;11;68,75;26,82926829;9,734513274;;
DropTime;Device;Yes;Actical;2;12,5;33,33333333;1,769911504;;
DropTime;StartYear;No;?;13;13,40206186;100;11,50442478;;
DropTime;StartYear;No;2015-2019;6;6,18556701;75;5,309734513;;
DropTime;StartYear;No;2010-2014;45;46,39175258;95,74468085;39,82300885;;
DropTime;StartYear;No;2005-2009;15;15,46391753;83,33333333;13,27433628;;
DropTime;StartYear;No;2000-2004;18;18,55670103;66,66666667;15,92920354;;
DropTime;StartYear;Yes;?;0;0;0;0;;
DropTime;StartYear;Yes;2015-2019;2;12,5;25;1,769911504;;
DropTime;StartYear;Yes;2010-2014;2;12,5;4,255319149;1,769911504;;
DropTime;StartYear;Yes;2005-2009;3;18,75;16,66666667;2,654867257;;
DropTime;StartYear;Yes;2000-2004;9;56,25;33,33333333;7,96460177;;
BoutDuration;Device;?;SenseWear;1;100;14,28571429;0,884955752;;
BoutDuration;Device;?;Lifecorder;0;0;0;0;;
BoutDuration;Device;?;ActivPAL;0;0;0;0;;
BoutDuration;Device;?;Active style;0;0;0;0;;
BoutDuration;Device;?;Vitamove;0;0;0;0;;
BoutDuration;Device;?;Hookie;0;0;0;0;;
BoutDuration;Device;?;GENEActiv;0;0;0;0;;
BoutDuration;Device;?;Axivity;0;0;0;0;;
BoutDuration;Device;?;Actiheart;0;0;0;0;;
BoutDuration;Device;?;Actigraph;0;0;0;0;;
BoutDuration;Device;?;Actical;0;0;0;0;;
BoutDuration;Device;1s;SenseWear;0;0;0;0;;
BoutDuration;Device;1s;Lifecorder;0;0;0;0;;
BoutDuration;Device;1s;ActivPAL;1;100;33,33333333;0,884955752;;
BoutDuration;Device;1s;Active style;0;0;0;0;;
BoutDuration;Device;1s;Vitamove;0;0;0;0;;
BoutDuration;Device;1s;Hookie;0;0;0;0;;
BoutDuration;Device;1s;GENEActiv;0;0;0;0;;
BoutDuration;Device;1s;Axivity;0;0;0;0;;
BoutDuration;Device;1s;Actiheart;0;0;0;0;;
BoutDuration;Device;1s;Actigraph;0;0;0;0;;
BoutDuration;Device;1s;Actical;0;0;0;0;;
BoutDuration;Device;10-32s;SenseWear;1;5,555555556;14,28571429;0,884955752;;
BoutDuration;Device;10-32s;Lifecorder;2;11,11111111;20;1,769911504;;
BoutDuration;Device;10-32s;ActivPAL;0;0;0;0;;
BoutDuration;Device;10-32s;Active style;0;0;0;0;;
BoutDuration;Device;10-32s;Vitamove;0;0;0;0;;
BoutDuration;Device;10-32s;Hookie;4;22,22222222;50;3,539823009;;
BoutDuration;Device;10-32s;GENEActiv;1;5,555555556;14,28571429;0,884955752;;
BoutDuration;Device;10-32s;Axivity;8;44,44444444;40;7,079646018;;
BoutDuration;Device;10-32s;Actiheart;0;0;0;0;;
BoutDuration;Device;10-32s;Actigraph;1;5,555555556;2,43902439;0,884955752;;
BoutDuration;Device;10-32s;Actical;1;5,555555556;16,66666667;0,884955752;;
BoutDuration;Device;1min;SenseWear;1;2,702702703;14,28571429;0,884955752;;
BoutDuration;Device;1min;Lifecorder;2;5,405405405;20;1,769911504;;
BoutDuration;Device;1min;ActivPAL;0;0;0;0;;
BoutDuration;Device;1min;Active style;2;5,405405405;50;1,769911504;;
BoutDuration;Device;1min;Vitamove;2;5,405405405;100;1,769911504;;
BoutDuration;Device;1min;Hookie;0;0;0;0;;
BoutDuration;Device;1min;GENEActiv;3;8,108108108;42,85714286;2,654867257;;
BoutDuration;Device;1min;Axivity;5;13,51351351;25;4,424778761;;
BoutDuration;Device;1min;Actiheart;2;5,405405405;40;1,769911504;;
BoutDuration;Device;1min;Actigraph;18;48,64864865;43,90243902;15,92920354;;
BoutDuration;Device;1min;Actical;2;5,405405405;33,33333333;1,769911504;;
BoutDuration;Device;2-5min;SenseWear;2;15,38461538;28,57142857;1,769911504;;
BoutDuration;Device;2-5min;Lifecorder;4;30,76923077;40;3,539823009;;
BoutDuration;Device;2-5min;ActivPAL;0;0;0;0;;
BoutDuration;Device;2-5min;Active style;0;0;0;0;;
BoutDuration;Device;2-5min;Vitamove;0;0;0;0;;
BoutDuration;Device;2-5min;Hookie;1;7,692307692;12,5;0,884955752;;
BoutDuration;Device;2-5min;GENEActiv;0;0;0;0;;
BoutDuration;Device;2-5min;Axivity;3;23,07692308;15;2,654867257;;
BoutDuration;Device;2-5min;Actiheart;1;7,692307692;20;0,884955752;;
BoutDuration;Device;2-5min;Actigraph;2;15,38461538;4,87804878;1,769911504;;
BoutDuration;Device;2-5min;Actical;0;0;0;0;;
BoutDuration;Device;10min;SenseWear;2;5,405405405;28,57142857;1,769911504;;
BoutDuration;Device;10min;Lifecorder;2;5,405405405;20;1,769911504;;
BoutDuration;Device;10min;ActivPAL;2;5,405405405;66,66666667;1,769911504;;
BoutDuration;Device;10min;Active style;2;5,405405405;50;1,769911504;;
BoutDuration;Device;10min;Vitamove;0;0;0;0;;
